AIRCRAFT_CONFIG_DESC,YEAR,total_flights,average_ground_time
Combined Passenger and Freight on a main deck,2014,79244.0,123.6617969320672
Combined Passenger and Freight on a main deck,2015,73532.0,110.92903225806451
Combined Passenger and Freight on a main deck,2016,75858.0,116.31115577889447
Combined Passenger and Freight on a main deck,2017,88639.0,73.64516520894072
Combined Passenger and Freight on a main deck,2018,169535.0,49.74009469225019
Combined Passenger and Freight on a main deck,2019,164521.0,51.27101967799642
Combined Passenger and Freight on a main deck,2020,54712.0,34.76457025746125
Combined Passenger and Freight on a main deck,2021,53229.0,49.852373417721516
Combined Passenger and Freight on a main deck,2022,57855.0,45.10739064856712
Combined Passenger and Freight on a main deck,2023,50545.0,39.26837606837607
Combined Passenger and Freight on a main deck,2024,15764.0,40.47720994475138
Freight Configuration,2014,491751.0,165.57276591995418
Freight Configuration,2015,505901.0,174.78329244787105
Freight Configuration,2016,528175.0,186.80565884138963
Freight Configuration,2017,552482.0,196.2794610624033
Freight Configuration,2018,569587.0,215.12660491855638
Freight Configuration,2019,588882.0,228.46868158728134
Freight Configuration,2020,640424.0,221.9066042191436
Freight Configuration,2021,670947.0,233.06779047619048
Freight Configuration,2022,642974.0,244.37323663818796
Freight Configuration,2023,590209.0,263.5603642632952
Freight Configuration,2024,316888.0,261.0276715123693
Passenger Configuration,2014,8093305.0,592.4917631795884
Passenger Configuration,2015,8058951.0,589.0868708332923
Passenger Configuration,2016,8170302.0,576.3317229218358
Passenger Configuration,2017,8164684.0,614.3101383911625
Passenger Configuration,2018,8316212.0,656.3895928045789
Passenger Configuration,2019,8537360.0,645.7501245671292
Passenger Configuration,2020,5220975.0,474.1000905875248
Passenger Configuration,2021,6806842.0,488.99142177733205
Passenger Configuration,2022,7480068.0,513.6498998840154
Passenger Configuration,2023,7886509.0,527.344311678699
Passenger Configuration,2024,4727841.0,533.4977897574124
Seaplane,2014,66924.0,87.54993885038728
Seaplane,2015,50713.0,155.44450359329252
Seaplane,2016,55377.0,101.90965092402465
Seaplane,2017,42899.0,51.271679197994985
Seaplane,2018,38430.0,66.07603867258949
Seaplane,2019,35280.0,51.144733242134066
Seaplane,2020,20924.0,32.12165587158547
Seaplane,2021,33139.0,38.86405631324241
Seaplane,2022,42350.0,56.46955650212979
Seaplane,2023,34976.0,43.47718539865514
Seaplane,2024,20736.0,49.95827473042663
